,_id,X,Y
0,60039bef2bc0240991b16857,-4.50088,48.35698
1,60039b8f2bc0240991848034,-4.4970617,48.379555
2,60039b9c2bc02409918a7d6d,-4.4137635,48.15062
3,60039bef2bc0240991b16855,-4.500963,48.356915
4,60039bbe2bc02409919ab3fc,-4.474253,48.341007
5,60039bef2bc0240991b16853,-4.501045,48.356842
6,60039a6c2bc024099171a177,-4.497015,48.382206
7,60039c032bc0240991bb75e8,-4.56926,48.13976
8,60039e032bc02409910fb449,-4.476655,48.38109
9,60039bef2bc0240991b16850,-4.501128,48.356773
10,60039dd32bc0240991fa9f6a,-4.478305,48.383118
11,600398ce2bc02409912fd3b8,-4.4857583,48.37982
12,60039c362bc0240991cbd9d8,-4.485093,48.38134
13,60039bef2bc0240991b1684f,-4.5012116,48.3567
14,60039e642bc02409913bf521,-4.5142384,48.369167
15,600399102bc02409914e3d3c,-4.48609,48.381565
16,60039bbe2bc02409919ab131,-4.473972,48.340412
17,60039bef2bc0240991b1684e,-4.501293,48.356632
18,60039b8f2bc024099183f151,-4.49706,48.37955




















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































